Kernel backend: cce
Autodetected device type: cuda
2026-02-02 17:08:00,507 - nanochat.common - [32m[1mINFO[0m - Distributed world size: 1
Vocab size: 32,768
Loading SFT dataset from data/diff_sft.jsonl
SFT dataset size: 60052 examples
Loading pretrained model from /home/dave/.cache/nanochat/base_checkpoints/d16_400M_fim_cce
Loaded checkpoint from step 10000
Parameters: 398,458,912
Training for 2 epochs, 15013 steps/epoch, 30026 total steps
Warmup steps: 3002
  step 00050/30026 | epoch 1/2 | loss: 1.7691 | avg: 1.5291 | lr: 8.33e-07
  step 00100/30026 | epoch 1/2 | loss: 1.0844 | avg: 1.5730 | lr: 1.67e-06
  step 00150/30026 | epoch 1/2 | loss: 1.6931 | avg: 1.5588 | lr: 2.50e-06
  step 00200/30026 | epoch 1/2 | loss: 1.5516 | avg: 1.5696 | lr: 3.33e-06
  step 00250/30026 | epoch 1/2 | loss: 1.6081 | avg: 1.5735 | lr: 4.16e-06
  step 00300/30026 | epoch 1/2 | loss: 1.4367 | avg: 1.5677 | lr: 5.00e-06
  step 00350/30026 | epoch 1/2 | loss: 1.0655 | avg: 1.5625 | lr: 5.83e-06
  step 00400/30026 | epoch 1/2 | loss: 1.7076 | avg: 1.5591 | lr: 6.66e-06
  step 00450/30026 | epoch 1/2 | loss: 1.1997 | avg: 1.5615 | lr: 7.50e-06
  step 00500/30026 | epoch 1/2 | loss: 1.7517 | avg: 1.5575 | lr: 8.33e-06
  step 00550/30026 | epoch 1/2 | loss: 0.8418 | avg: 1.5468 | lr: 9.16e-06
  step 00600/30026 | epoch 1/2 | loss: 1.7541 | avg: 1.5453 | lr: 9.99e-06
  step 00650/30026 | epoch 1/2 | loss: 1.6950 | avg: 1.5351 | lr: 1.08e-05
  step 00700/30026 | epoch 1/2 | loss: 1.4054 | avg: 1.5297 | lr: 1.17e-05
  step 00750/30026 | epoch 1/2 | loss: 1.4454 | avg: 1.5205 | lr: 1.25e-05
  step 00800/30026 | epoch 1/2 | loss: 1.3250 | avg: 1.5089 | lr: 1.33e-05
  step 00850/30026 | epoch 1/2 | loss: 1.6420 | avg: 1.4990 | lr: 1.42e-05
  step 00900/30026 | epoch 1/2 | loss: 0.8546 | avg: 1.4892 | lr: 1.50e-05
  step 00950/30026 | epoch 1/2 | loss: 1.9069 | avg: 1.4817 | lr: 1.58e-05
